feature,ai,calibration_mean,former_test_mean,mean_difference_in_training_sd
log_word_count,0,5.065388432088105,5.011870041405554,-0.685877124611165
log_word_count,1,5.001641565785925,5.043245775160046,0.5331882205969687
type_token_ratio,0,0.5670093898638675,0.558008658008658,-0.16749954732207428
type_token_ratio,1,0.7651564004597273,0.7252598024148323,-0.7424576378578359
mean_word_length,0,4.397034743863102,4.576406926406926,0.5584033746068647
mean_word_length,1,5.372685366383997,5.137896132363397,-0.7309221460046185
mean_sentence_length,0,26.36904761904762,28.64814814814815,0.24571940607723392
mean_sentence_length,1,15.311111111111112,16.551851851851854,0.13376947353479152
sentence_length_cv,0,0.47100668950730823,0.5639417752199334,0.7769644000785679
sentence_length_cv,1,0.2871992348559642,0.38262091152323724,0.7977530251118832
repeated_trigram_fraction,0,0.013131313131313141,0.03508771929824561,7.272141449745342
repeated_trigram_fraction,1,0.0,0.0,0.0
repeated_sentence_fraction,0,0.0,0.0,0.0
repeated_sentence_fraction,1,0.0,0.0,0.0
digit_token_fraction,0,0.018566849816849817,0.0,-2.759783642437278
digit_token_fraction,1,0.0,0.0,0.0
url_rate,0,0.0,0.0,0.0
url_rate,1,0.0,0.0,0.0
punctuation_rate,0,0.03268376523973539,0.06406926406926407,1.73054983269679
punctuation_rate,1,0.0494964743888423,0.0454421595018164,-0.22354890669577868
