repeat,n,tp,fp,tn,fn,precision,recall,fpr,f1,accuracy,auroc,fnr,coverage
0,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
2,6,0,2,1,3,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.3333333333333333,1.0,1.0
3,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
4,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.2222222222222222,1.0,1.0
5,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0
6,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.5555555555555556,1.0,1.0
7,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.5555555555555556,1.0,1.0
8,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0
9,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
10,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.4444444444444444,1.0,1.0
11,6,1,0,3,2,1.0,0.3333333333333333,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666667,1.0
12,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0
13,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.5555555555555556,1.0,1.0
14,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.0,1.0,1.0
15,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.5555555555555556,1.0,1.0
16,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
17,6,1,0,3,2,1.0,0.3333333333333333,0.0,0.5,0.6666666666666666,1.0,0.6666666666666667,1.0
18,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.7777777777777778,1.0,1.0
19,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.5555555555555556,1.0,1.0
20,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0
21,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
22,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0
23,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.5555555555555556,1.0,1.0
24,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8888888888888888,1.0,1.0
25,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.5555555555555556,1.0,1.0
26,6,1,2,1,2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0
27,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.0,1.0,1.0
28,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.4444444444444444,1.0,1.0
29,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,0.8888888888888888,0.33333333333333337,1.0
30,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.4444444444444444,1.0,1.0
31,6,0,2,1,3,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,1.0,1.0
32,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.4444444444444444,1.0,1.0
33,6,1,0,3,2,1.0,0.3333333333333333,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666667,1.0
34,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.4444444444444444,1.0,1.0
35,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,1.0
36,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
37,6,3,2,1,0,0.6,1.0,0.6666666666666666,0.75,0.6666666666666666,0.7777777777777778,0.0,1.0
38,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
39,6,3,2,1,0,0.6,1.0,0.6666666666666666,0.75,0.6666666666666666,0.3333333333333333,0.0,1.0
